"name","registrationNumber","workplaceName","workplaceDepartment","workplaceAddress"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Prostřední Lánov  129"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Slavíčkova  139"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Slavíčkova  139"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Librantice  80"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Balbínova  1260"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Ulrichovo náměstí  762"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Jana Pitry  448"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Bílá Třemešná  31"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Pouchovská  190"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Velký Třebešov  118"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Štefánikova  566"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Na Kotli  661"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Třebízského  799"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Lipová  380"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Milíčeves  26"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Záhumenská  445"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Pražská třída  850"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Heldovo náměstí  594"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Kumburská  750"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Tyršova  262"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","17. listopadu  388"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Šimkova  1223"
"Ordinace zubního lékaře","neuvedeno","Společnost s ručením omezeným","zubní lékařství","Hradební  1258"
"Ordinace zubního lékaře","neuvedeno","Fyzická osoba podnikající dle jiných zákonů než živnostenského a zákona o zemědělství","zubní lékařství","Bratří Čapků  773"
